"","Brewery","City","State"
"389","Renegade Brewing Company","Denver","CO"
"390","Renegade Brewing Company","Denver","CO"
"391","Renegade Brewing Company","Denver","CO"
"392","Mother Earth Brew Company","Vista","CA"
"393","Black Market Brewing Company","Temecula","CA"
"394","Black Market Brewing Company","Temecula","CA"
"395","Black Market Brewing Company","Temecula","CA"
"396","Black Market Brewing Company","Temecula","CA"
"397","Smartmouth Brewing Company","Norfolk","VA"
"398","Smartmouth Brewing Company","Norfolk","VA"
"399","Smartmouth Brewing Company","Norfolk","VA"
"400","Base Camp Brewing Co.","Portland","OR"
"401","Base Camp Brewing Co.","Portland","OR"
"402","Base Camp Brewing Co.","Portland","OR"
"403","Base Camp Brewing Co.","Portland","OR"
"404","Base Camp Brewing Co.","Portland","OR"
"405","Alameda Brewing","Portland","OR"
"406","Alameda Brewing","Portland","OR"
"407","Alameda Brewing","Portland","OR"
"408","Southern Star Brewing Company","Conroe","TX"
"409","Southern Star Brewing Company","Conroe","TX"
"410","Southern Star Brewing Company","Conroe","TX"
"411","Southern Star Brewing Company","Conroe","TX"
"412","Southern Star Brewing Company","Conroe","TX"
"413","Southern Star Brewing Company","Conroe","TX"
"414","Southern Star Brewing Company","Conroe","TX"
"415","Southern Star Brewing Company","Conroe","TX"
"416","Southern Star Brewing Company","Conroe","TX"
"417","Southern Star Brewing Company","Conroe","TX"
"418","Southern Star Brewing Company","Conroe","TX"
"419","Southern Star Brewing Company","Conroe","TX"
"420","Steamworks Brewing Company","Durango","CO"
"421","Steamworks Brewing Company","Durango","CO"
"422","Steamworks Brewing Company","Durango","CO"
"423","Steamworks Brewing Company","Durango","CO"
"424","Horny Goat Brew Pub","Milwaukee","WI"
"425","Cheboygan Brewing Company","Cheboygan","MI"
"426","Cheboygan Brewing Company","Cheboygan","MI"
"427","Center of the Universe Brewing C...","Ashland","VA"
"428","Center of the Universe Brewing C...","Ashland","VA"
"429","Center of the Universe Brewing C...","Ashland","VA"
"430","Center of the Universe Brewing C...","Ashland","VA"
"431","Griffin Claw Brewing Company","Birmingham","MI"
"432","Griffin Claw Brewing Company","Birmingham","MI"
"433","Griffin Claw Brewing Company","Birmingham","MI"
"434","Griffin Claw Brewing Company","Birmingham","MI"
"435","Griffin Claw Brewing Company","Birmingham","MI"
"436","Griffin Claw Brewing Company","Birmingham","MI"
"437","Karbach Brewing Company","Houston","TX"
"438","Karbach Brewing Company","Houston","TX"
"439","Karbach Brewing Company","Houston","TX"
"440","Karbach Brewing Company","Houston","TX"
"441","Karbach Brewing Company","Houston","TX"
"442","Karbach Brewing Company","Houston","TX"
"443","Karbach Brewing Company","Houston","TX"
"444","Karbach Brewing Company","Houston","TX"
"445","Karbach Brewing Company","Houston","TX"
"446","Karbach Brewing Company","Houston","TX"
"447","Uncle Billy's Brewery and Smokeh...","Austin","TX"
"448","Uncle Billy's Brewery and Smokeh...","Austin","TX"
"449","Deep Ellum Brewing Company","Dallas","TX"
"450","Deep Ellum Brewing Company","Dallas","TX"
"451","Deep Ellum Brewing Company","Dallas","TX"
"452","Deep Ellum Brewing Company","Dallas","TX"
"453","Deep Ellum Brewing Company","Dallas","TX"
"454","Real Ale Brewing Company","Blanco","TX"
"455","Real Ale Brewing Company","Blanco","TX"
"456","Real Ale Brewing Company","Blanco","TX"
"457","Real Ale Brewing Company","Blanco","TX"
"458","Real Ale Brewing Company","Blanco","TX"
"459","Real Ale Brewing Company","Blanco","TX"
"460","Real Ale Brewing Company","Blanco","TX"
"461","Straub Brewery","St Mary's","PA"
"462","Straub Brewery","St Mary's","PA"
"463","Straub Brewery","St Mary's","PA"
"464","Stevens Point Brewery","Stevens Point","WI"
"465","Stevens Point Brewery","Stevens Point","WI"
"466","Stevens Point Brewery","Stevens Point","WI"
"467","Stevens Point Brewery","Stevens Point","WI"
"468","Stevens Point Brewery","Stevens Point","WI"
"469","Stevens Point Brewery","Stevens Point","WI"
"470","Stevens Point Brewery","Stevens Point","WI"
"471","Stevens Point Brewery","Stevens Point","WI"
"472","Stevens Point Brewery","Stevens Point","WI"
"473","Stevens Point Brewery","Stevens Point","WI"
"474","Stevens Point Brewery","Stevens Point","WI"
"475","Stevens Point Brewery","Stevens Point","WI"
"476","Stevens Point Brewery","Stevens Point","WI"
"477","Stevens Point Brewery","Stevens Point","WI"
"478","Stevens Point Brewery","Stevens Point","WI"
"479","Stevens Point Brewery","Stevens Point","WI"
"480","Stevens Point Brewery","Stevens Point","WI"
"481","Stevens Point Brewery","Stevens Point","WI"
"482","Stevens Point Brewery","Stevens Point","WI"
"483","Stevens Point Brewery","Stevens Point","WI"
"484","Weston Brewing Company","Weston","MO"
"485","Weston Brewing Company","Weston","MO"
"486","Southern Prohibition Brewing Com...","Hattiesburg","MS"
"487","Southern Prohibition Brewing Com...","Hattiesburg","MS"
"488","Southern Prohibition Brewing Com...","Hattiesburg","MS"
"489","Southern Prohibition Brewing Com...","Hattiesburg","MS"
"490","Southern Prohibition Brewing Com...","Hattiesburg","MS"
"491","Southern Prohibition Brewing Com...","Hattiesburg","MS"
"492","Southern Prohibition Brewing Com...","Hattiesburg","MS"
"493","Southern Prohibition Brewing Com...","Hattiesburg","MS"
"494","Southern Prohibition Brewing Com...","Hattiesburg","MS"
"495","Pug Ryan's Brewery","Dillon","CO"
"496","Pug Ryan's Brewery","Dillon","CO"
"497","Pug Ryan's Brewery","Dillon","CO"
"498","Pug Ryan's Brewery","Dillon","CO"
"499","Pug Ryan's Brewery","Dillon","CO"
"500","Pug Ryan's Brewery","Dillon","CO"
"501","Pug Ryan's Brewery","Dillon","CO"
"502","Summit Brewing Company","St Paul","MN"
"503","Independence Brewing Company","Austin","TX"
"504","Independence Brewing Company","Austin","TX"
"505","Independence Brewing Company","Austin","TX"
"506","Cigar City Brewing Company","Tampa","FL"
"507","Cigar City Brewing Company","Tampa","FL"
"508","Cigar City Brewing Company","Tampa","FL"
"509","Cigar City Brewing Company","Tampa","FL"
"510","Cigar City Brewing Company","Tampa","FL"
"511","Cigar City Brewing Company","Tampa","FL"
"512","Cigar City Brewing Company","Tampa","FL"
